module_id,"module_name",module_category_id,"module_path","alias",active,"date_created"
1,"Banner - Small",1,"modules/banners/small","bannerSmall",1,"2016-10-26 00:11:37"
2,"Banner - Medium",1,"modules/banners/medium","bannerMedium",1,"2016-10-26 00:12:14"
3,"Banner - Large",1,"modules/banners/large","bannerLarge",1,"2016-10-26 00:12:14"
4,"Header",3,"modules/header","header",1,"2016-10-26 00:12:27"
5,"Footer",4,"modules/footer","footer",1,"2016-10-26 00:12:56"
6,"Nav - Public",5,"modules/nav-public","navPublic",1,"2016-10-26 22:50:36"
7,"Tiles - Featured",6,"modules/tiles/featured","featuredTiles",1,"2016-11-04 15:52:08"
8,"Top 5 Locations",7,"modules/sliders/top5locations","top5Locations",1,"2017-03-05 14:01:52"
9,"Tiles - 2 Col News",6,"modules/tiles/twocolnews","twoColNews",1,"2017-03-05 20:11:08"
10,"Tiles - Row of four",6,"modules/tiles/row_of_four","rowOfFour",1,"2017-03-06 21:27:29"
11,"About",8,"modules/pages/about","about",1,"2017-03-06 21:57:04"
12,"Contact",8,"modules/pages/contact","contact",1,"2017-03-07 00:16:34"
13,"Pureskiing",8,"modules/pages/pureskiing","pureskiing",1,"2017-03-07 07:53:12"
14,"Package Builder",9,"modules/package-builder","packageBuilder",1,"2017-03-07 07:53:33"
15,"Puresport",8,"modules/pages/puresport","puresport",1,"2017-03-07 08:43:52"
16,"Robinson",8,"modules/pages/robinson","robinson",1,"2017-03-07 09:31:16"
