page_module_id,page_id,module_id,"module_data",order,active,"plugins"
1,1,3,"{\"src\": \"assets/img/backgrounds/modules/banner-home.jpg\"}",2,1,NULL
2,1,6,NULL,1,1,NULL
3,1,4,"{\"tel\":\"0861 123 754\"}",0,1,NULL
4,1,5,NULL,50,1,NULL
5,2,2,"{\"src\": \"assets/img/backgrounds/modules/banner-about.jpg\"}",2,1,NULL
6,2,6,NULL,1,1,NULL
7,2,4,"{\"tel\":\"0861 123 754\"}",0,1,NULL
8,2,5,NULL,50,1,NULL
9,1,7,"{\"tiles\": [{\"src\":\"assets/img/tiles/all-inclusive.jpg\"},{\"src\":\"assets/img/tiles/full-board.jpg\"},{\"src\":\"assets/img/tiles/wide-hosted.jpg\"},{\"src\":\"assets/img/tiles/beach.jpg\"},{\"src\":\"assets/img/tiles/ski-chalet.jpg\"},{\"src\":\"assets/img/tiles/sports.jpg\"}]
}",3,1,NULL
10,3,3,"{\"src\": \"assets/img/backgrounds/modules/banner-contact.jpg\"}",2,1,NULL
11,3,6,NULL,1,1,NULL
12,3,4,"{\"tel\": \"0419221111\"}",0,1,NULL
13,3,5,NULL,50,1,NULL
14,1,8,"{\"slides\": [{\"src\" : \"assets/img/sliders/top5locations/slide1.jpg\",\"title\" : \"Italy\",\"text\" : \"Text about Italy here. Modern Italian cuisine has developed through centuries of social and political changes, with roots as far back as the 4th century BC. Italian cuisine in itself takes heavy influences, including Etruscan, and Jewish.\",\"button\" : {\"text\":\"See Italian escapes\",\"link\": \"/destination/italy\"}}, {\"src\" : \"assets/img/sliders/top5locations/slide2.jpg\",\"title\" : \"Germany\",\"text\" : \"Text about Germany here. Modern German cuisine has developed through centuries of social and political changes, with roots as far back as the 4th century BC. Italian cuisine in itself takes heavy influences, including Etruscan, and Jewish.\",\"button\" :{\"text\":\"See German escapes\",\"link\": \"/destination/germany\"}}]}",4,1,"{\"js\":[\"assets/plugins/unslider/js/unslider-min.js\",\"application/views/modules/sliders/top5locations/script.js\"],\"css\": [\"assets/plugins/unslider/css/unslider.css\",\"assets/plugins/unslider/css/unslider-dots.css\"]}"
15,4,4,"{\"tel\":\"0418887777\"}",0,1,NULL
16,4,3,"{\"src\": \"assets/img/backgrounds/modules/banner-pureskiing.jpg\"}",2,1,NULL
17,4,6,NULL,1,1,NULL
18,4,5,NULL,50,1,NULL
19,5,3,"{\"src\": \"assets/img/backgrounds/modules/banner-puresport.jpg\"}",2,1,NULL
20,5,4,"{\"tel\":\"0713334444\"}",0,1,NULL
21,5,6,NULL,1,1,NULL
22,5,5,NULL,50,1,NULL
23,6,3,"{\"src\": \"assets/img/backgrounds/modules/banner-robinson.jpg\"}",2,1,NULL
24,6,4,"{\"tel\":\"0713335555\"}",0,1,NULL
25,6,6,NULL,1,1,NULL
26,6,5,NULL,50,1,NULL
27,1,9,"{\"tiles\":[{\"src\":\"assets/img/tiles/twocolnews/tile1.jpg\",\"link\":\"link/value\"},{\"src\":\"assets/img/tiles/twocolnews/tile2.jpg\",\"link\":\"link/value\"},{\"src\":\"assets/img/tiles/twocolnews/tile3.jpg\",\"link\":\"link/value\"},{\"src\":\"assets/img/tiles/twocolnews/tile4.jpg\",\"link\":\"link/value\"},{\"src\":\"assets/img/tiles/twocolnews/tile5.jpg\",\"link\":\"link/value\"},{\"src\":\"assets/img/tiles/twocolnews/tile6.jpg\",\"link\":\"link/value\"}],\"content\":{\"top\":{\"title\":\"Discover Pure Tours\",\"text\":\"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Maecenas pretium ut justo at scelerisque. Donec feugiat ligula nec nisl ornare viverra. Aliquam accumsan risus purus, id hendrerit velit dictum at.\\n\\nMauris eget felis ex. Proin pharetra non purus et posuere. Donec elementum sit amet turpis quis molestie. Cras posuere commodo dolor, eget porttitor ante sollicitudin et. Suspendisse at posuere ex. Lorem ipsum dolor sit amet, consectetur adipiscing elit.\\n\\nMaecenas pretium ut justo at scelerisque. Donec feugiat ligula nec nisl ornare viverra. Aliquam accumsan risus purus, id hendrerit velit dictum at. Mauris eget felis ex. Proin pharetra non purus et posuere. Donec elementum sit amet turpis quis molestie. Cras posuere commodo dolor, eget porttitor ante sollicitudin et. Suspendisse at posuere ex. Cras posuere commodo dolor, eget porttitor ante sollicitudin et. Cras posuere commodo dolor, eget porttitor ante sollicitudi.\",\"button\":{\"text\":\"Find out more about us\",\"link\":\"about\"}},\"bottom\":{\"title\":\"Latest travel News\",\"button\":{\"text\":\"Read all travel news\",\"link\":\"travel-news\"}}}}",5,1,NULL
28,4,10,"{\"tiles\":[{\"src\":\"assets/img/tiles/row-of-four/all-inclusive.jpg\",\"link\":\"#all-inclusive\"},{\"src\":\"assets/img/tiles/row-of-four/full-board.jpg\",\"link\":\"#full-board\"},{\"src\":\"assets/img/tiles/row-of-four/hosted.jpg\",\"link\":\"#hosted\"},{\"src\":\"assets/img/tiles/row-of-four/chalets.jpg\",\"link\":\"#chalets\"}]}",3,1,NULL
29,2,11,NULL,3,1,NULL
30,3,12,NULL,3,1,"{\"js\":[\"https://maps.googleapis.com/maps/api/js?key=AIzaSyDgGLsLhhjI17YizeDEDZi94aCfYScQQTI&callback=initMap\",\"application/views/modules/pages/contact/script.js\"],\"css\": []}"
31,4,13,NULL,4,1,NULL
32,5,15,NULL,4,1,NULL
33,6,16,NULL,4,1,NULL
